trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
665,24:25:00,24:25:00,70071,17,,0,0,51142.56714644,1
665,24:28:00,24:28:00,70061,18,,0,0,53688.63737535,1
665,24:31:00,24:31:00,70051,19,,0,0,57764.00488367,1
665,24:34:00,24:34:00,70041,20,,0,0,60809.71132702,1
665,24:39:00,24:39:00,70031,21,,0,0,67484.89569607,1
665,24:44:00,24:44:00,70021,22,,0,0,72903.35937218,1
665,24:50:00,24:50:00,70011,23,,0,0,75426.50517223,1
602,7:55:00,7:55:00,70012,1,,0,0,0.00000000,1
602,8:00:00,8:00:00,70022,2,,0,0,2521.94934933,1
602,8:04:00,8:04:00,70032,3,,0,0,7940.93034485,1
602,8:10:00,8:10:00,70042,4,,0,0,14613.27361600,1
602,8:13:00,8:13:00,70052,5,,0,0,17657.01202032,1
602,8:16:00,8:16:00,70062,6,,0,0,21733.69455401,1
602,8:19:00,8:19:00,70072,7,,0,0,24282.86652629,1
602,8:21:00,8:21:00,70082,8,,0,0,26043.38507674,1
602,8:24:00,8:24:00,70092,9,,0,0,28350.06083383,1
602,8:26:00,8:26:00,70102,10,,0,0,30499.05295888,1
602,8:29:00,8:29:00,70112,11,,0,0,31865.93060020,1
602,8:32:00,8:32:00,70122,12,,0,0,35199.25076625,1
602,8:34:00,8:34:00,70132,13,,0,0,37194.42283627,1
602,8:38:00,8:38:00,70142,14,,0,0,40687.04095794,1
602,8:42:00,8:42:00,70162,15,,0,0,46287.60767013,1
602,8:46:00,8:46:00,70172,16,,0,0,48298.98998482,1
602,8:49:00,8:49:00,70192,17,,0,0,50847.25988960,1
602,8:52:00,8:52:00,70202,18,,0,0,54786.94500055,1
602,8:55:00,8:55:00,70212,19,,0,0,57895.35927592,1
602,8:59:00,8:59:00,70222,20,,0,0,62207.87669606,1
602,9:03:00,9:03:00,70232,21,,0,0,65397.82046951,1
602,9:07:00,9:07:00,70242,22,,0,0,71287.50060100,1
602,9:15:00,9:15:00,70262,23,,0,0,75448.72622223,1
604,8:25:00,8:25:00,70012,1,,0,0,0.00000000,1
604,8:30:00,8:30:00,70022,2,,0,0,2521.94934933,1
604,8:34:00,8:34:00,70032,3,,0,0,7940.93034485,1
604,8:40:00,8:40:00,70042,4,,0,0,14613.27361600,1
604,8:43:00,8:43:00,70052,5,,0,0,17657.01202032,1
604,8:46:00,8:46:00,70062,6,,0,0,21733.69455401,1
604,8:49:00,8:49:00,70072,7,,0,0,24282.86652629,1
604,8:51:00,8:51:00,70082,8,,0,0,26043.38507674,1
604,8:54:00,8:54:00,70092,9,,0,0,28350.06083383,1
604,8:56:00,8:56:00,70102,10,,0,0,30499.05295888,1
604,8:59:00,8:59:00,70112,11,,0,0,31865.93060020,1
604,9:02:00,9:02:00,70122,12,,0,0,35199.25076625,1
604,9:04:00,9:04:00,70132,13,,0,0,37194.42283627,1
604,9:08:00,9:08:00,70142,14,,0,0,40687.04095794,1
604,9:12:00,9:12:00,70162,15,,0,0,46287.60767013,1
604,9:16:00,9:16:00,70172,16,,0,0,48298.98998482,1
604,9:19:00,9:19:00,70192,17,,0,0,50847.25988960,1
604,9:22:00,9:22:00,70202,18,,0,0,54786.94500055,1
604,9:25:00,9:25:00,70212,19,,0,0,57895.35927592,1
604,9:29:00,9:29:00,70222,20,,0,0,62207.87669606,1
604,9:33:00,9:33:00,70232,21,,0,0,65397.82046951,1
604,9:37:00,9:37:00,70242,22,,0,0,71287.50060100,1
604,9:44:00,9:44:00,70262,23,,0,0,75448.72622223,1
606,8:55:00,8:55:00,70012,1,,0,0,0.00000000,1
606,9:00:00,9:00:00,70022,2,,0,0,2521.94934933,1
606,9:04:00,9:04:00,70032,3,,0,0,7940.93034485,1
606,9:10:00,9:10:00,70042,4,,0,0,14613.27361600,1
606,9:13:00,9:13:00,70052,5,,0,0,17657.01202032,1
606,9:16:00,9:16:00,70062,6,,0,0,21733.69455401,1
606,9:19:00,9:19:00,70072,7,,0,0,24282.86652629,1
606,9:21:00,9:21:00,70082,8,,0,0,26043.38507674,1
606,9:24:00,9:24:00,70092,9,,0,0,28350.06083383,1
606,9:26:00,9:26:00,70102,10,,0,0,30499.05295888,1
606,9:29:00,9:29:00,70112,11,,0,0,31865.93060020,1
606,9:32:00,9:32:00,70122,12,,0,0,35199.25076625,1
606,9:34:00,9:34:00,70132,13,,0,0,37194.42283627,1
606,9:38:00,9:38:00,70142,14,,0,0,40687.04095794,1
606,9:42:00,9:42:00,70162,15,,0,0,46287.60767013,1
606,9:46:00,9:46:00,70172,16,,0,0,48298.98998482,1
606,9:49:00,9:49:00,70192,17,,0,0,50847.25988960,1
606,9:52:00,9:52:00,70202,18,,0,0,54786.94500055,1
606,9:55:00,9:55:00,70212,19,,0,0,57895.35927592,1
606,9:59:00,9:59:00,70222,20,,0,0,62207.87669606,1
606,10:03:00,10:03:00,70232,21,,0,0,65397.82046951,1
606,10:07:00,10:07:00,70242,22,,0,0,71287.50060100,1
606,10:15:00,10:15:00,70262,23,,0,0,75448.72622223,1
608,9:25:00,9:25:00,70012,1,,0,0,0.00000000,1
608,9:30:00,9:30:00,70022,2,,0,0,2521.94934933,1
608,9:34:00,9:34:00,70032,3,,0,0,7940.93034485,1
608,9:40:00,9:40:00,70042,4,,0,0,14613.27361600,1
608,9:43:00,9:43:00,70052,5,,0,0,17657.01202032,1
608,9:46:00,9:46:00,70062,6,,0,0,21733.69455401,1
608,9:49:00,9:49:00,70072,7,,0,0,24282.86652629,1
608,9:51:00,9:51:00,70082,8,,0,0,26043.38507674,1
608,9:54:00,9:54:00,70092,9,,0,0,28350.06083383,1
608,9:56:00,9:56:00,70102,10,,0,0,30499.05295888,1
608,9:59:00,9:59:00,70112,11,,0,0,31865.93060020,1
608,10:02:00,10:02:00,70122,12,,0,0,35199.25076625,1
608,10:04:00,10:04:00,70132,13,,0,0,37194.42283627,1
608,10:08:00,10:08:00,70142,14,,0,0,40687.04095794,1
